X_id,Year,BranchCode,Sessions
178,2019,RI,71343
179,2019,RN,67083
180,2019,RX,10536
181,2019,SA,53178
182,2019,SB,546
183,2019,SC,43849
184,2019,SI,1473
185,2019,SJ,58962
186,2019,SL,27347
187,2019,SP,14116
188,2019,ST,36129
189,2019,SW,2707
190,2019,SWS,58495
191,2019,TA,8422
192,2019,TH,42950
193,2019,TOD,3749
194,2019,TRL,390307
195,2019,VV,9070
196,2019,WE,26812
197,2019,WP,14657
198,2019,WS,72288
199,2019,YO,21130
200,2019,YW,62065
201,2020,AB,26076
202,2020,AD,1892
203,2020,AG,25441
204,2020,AH,1811
205,2020,AN,5746
206,2020,AP,4251
207,2020,BB,4129
208,2020,BC,5912
209,2020,BD,3706
210,2020,BE,7102
211,2020,BF,18233
212,2020,BL,31570
213,2020,BR,14194
214,2020,BRW,10115
215,2020,BUR,2989
216,2020,CC,2888
217,2020,CE,4810
218,2020,CED,35952
219,2020,CH,8603
220,2020,CL,62120
221,2020,CS,4090
222,2020,DA,9723
223,2020,DM,13816
224,2020,DO,11773
225,2020,DP,15121
226,2020,DR,7374
227,2020,DT,922
228,2020,DU,8753
229,2020,EA,10679
230,2020,EB,852
231,2020,EG,3408
232,2020,EN,4497
233,2020,ES,12119
234,2020,FH,4598
235,2020,FO,7407
236,2020,FP,6271
237,2020,FV,32314
238,2020,GE,3739
239,2020,GHP,6205
240,2020,GW,2225
241,2020,HB,1232
242,2020,HC,4426
243,2020,HIL,3582
244,2020,HP,7341
245,2020,HS,3415
246,2020,HW,2229
247,2020,JD,11692
248,2020,JO,3568
249,2020,JS,7509
250,2020,KE,7709
251,2020,LB,2755
252,2020,LE,5065
253,2020,LO,8879
254,2020,LS,26622
255,2020,MA,7986
256,2020,MAL,20033
257,2020,MAS,19854
258,2020,MCG,7509
259,2020,MD,8491
260,2020,MI,3871
261,2020,MP,1040
262,2020,MRV,5973
263,2020,MS,6127
264,2020,ND,26221
265,2020,NE,3650
266,2020,NT,3370
267,2020,OV,4420
268,2020,PA,11283
269,2020,PE,1099
270,2020,PK,24647
271,2020,PL,15114
272,2020,PM,5166
273,2020,PU,1732
274,2020,PV,3843
275,2020,QS,2064
276,2020,RD,10683
277,2020,RI,20928
278,2020,RN,16323
279,2020,RX,2595
280,2020,SA,12650
281,2020,SB,144
282,2020,SC,12080
283,2020,SI,1390
284,2020,SJ,9389
285,2020,SL,7287
286,2020,SP,2867
287,2020,ST,7465
288,2020,SW,607
289,2020,SWS,14360
290,2020,TA,2360
291,2020,TH,11491
292,2020,TOD,754
293,2020,TRL,113637
294,2020,VV,1886
295,2020,WE,7825
296,2020,WP,3980
297,2020,WS,13434
298,2020,YO,4700
299,2020,YW,8832
300,2021,AB,14154
301,2021,AD,504
302,2021,AG,10508
303,2021,AH,1044
304,2021,AN,3349
305,2021,AP,1588
306,2021,BB,1970
307,2021,BC,2747
308,2021,BD,1597
309,2021,BE,3402
310,2021,BF,8645
311,2021,BL,15125
312,2021,BR,6654
313,2021,BRW,4211
314,2021,BUR,711
315,2021,CC,1223
316,2021,CE,2658
317,2021,CED,15494
318,2021,CL,29480
319,2021,CS,1019
320,2021,DA,4674
321,2021,DM,5654
322,2021,DO,9331
323,2021,DP,6770
324,2021,DR,3048
325,2021,DU,3707
326,2021,EA,4215
327,2021,EB,341
328,2021,EG,1548
329,2021,EN,2518
330,2021,ES,4067
331,2021,FH,1936
332,2021,FO,3854
333,2021,FP,2479
334,2021,FV,15276
335,2021,GE,1867
336,2021,GHP,2695
337,2021,GW,758
338,2021,HB,449
339,2021,HC,1542
340,2021,HIL,1284
341,2021,HP,3409
342,2021,HS,982
343,2021,HW,909
344,2021,JD,5875
345,2021,JO,1385
346,2021,JS,3224
347,2021,KE,5727
348,2021,LB,915
349,2021,LE,2526
350,2021,LO,3700
351,2021,LS,14526
352,2021,MA,4891
353,2021,MAL,7303
354,2021,MAS,7608
355,2021,MCG,2602
356,2021,MD,3898
357,2021,MI,1652
358,2021,MRV,2661
359,2021,MS,2324
360,2021,ND,14308
361,2021,NE,1480
362,2021,NT,1608
363,2021,OV,1934
364,2021,PA,3053
365,2021,PE,274
366,2021,PK,13675
367,2021,PL,5033
368,2021,PM,1523
369,2021,PU,469
370,2021,PV,1565
371,2021,QS,529
372,2021,RD,4799
373,2021,RI,9403
374,2021,RN,8291
375,2021,RX,1166
376,2021,SA,6778
377,2021,SC,5578
378,2021,SI,709
379,2021,SJ,1922
380,2021,SL,4073
381,2021,SP,705
382,2021,ST,2207
383,2021,SWS,5318
384,2021,TA,926
385,2021,TH,5107
386,2021,TOD,157
387,2021,TRL,49391
388,2021,VV,938
389,2021,WE,4390
390,2021,WP,1409
391,2021,WS,5878
392,2021,YO,1929
393,2021,YW,3571
394,2022,AB,44967
395,2022,ACD,14030
396,2022,AD,2587
397,2022,AG,35212
398,2022,AH,1852
399,2022,AN,6485
400,2022,AP,5981
401,2022,BB,6340
402,2022,BC,9480
403,2022,BD,5019
404,2022,BE,9254
405,2022,BF,21799
406,2022,BL,48813
407,2022,BR,20232
408,2022,BRW,17132
409,2022,BUR,4884
410,2022,CC,6156
411,2022,CE,9196
412,2022,CED,43222
413,2022,CH,11020
414,2022,CL,87439
415,2022,CS,6025
416,2022,DA,15464
417,2022,DM,17395
418,2022,DO,31542
